Name,Sector,Num_Employees,Industry,End_Fiscal_Year
"Agilent Technologies, Inc.",Healthcare,17700,Diagnostics & Research,2024-10-31
American Airlines Group Inc.,Industrials,132100,Airlines,2024-12-31
Apple Inc.,Technology,161000,Consumer Electronics,2024-09-30
AbbVie Inc.,Healthcare,50000,Drug Manufacturers - General,2024-12-31
"Airbnb, Inc.",Consumer Cyclical,6907,Travel Services,2024-12-31
Abbott Laboratories,Healthcare,114000,Medical Devices,2024-12-31
Arch Capital Group Ltd.,Financial Services,6400,Insurance - Diversified,2024-12-31
Accenture plc,Technology,742000,Information Technology Services,2024-08-31
Adobe Inc.,Technology,29945,Software - Infrastructure,2024-12-01
"Analog Devices, Inc.",Technology,26000,Semiconductors,2024-10-28
Archer-Daniels-Midland Company,Consumer Defensive,40213,Farm Products,2024-12-31
"Automatic Data Processing, Inc.",Industrials,63000,Staffing & Employment Services,2024-06-30
"Autodesk, Inc.",Technology,0,Software - Application,2025-01-31
Ameren Corporation,Utilities,9372,Utilities - Regulated Electric,2024-12-31
"American Electric Power Company, Inc.",Utilities,17250,Utilities - Regulated Electric,2024-12-31
The AES Corporation,Utilities,9600,Utilities - Diversified,2024-12-31
Aflac Incorporated,Financial Services,12785,Insurance - Life,2024-12-31
"American International Group, Inc.",Financial Services,25000,Insurance - Diversified,2024-12-31
"Assurant, Inc.",Financial Services,13600,Insurance - Specialty,2024-12-31
Arthur J. Gallagher & Co.,Financial Services,52000,Insurance Brokers,2024-12-31
"Akamai Technologies, Inc.",Technology,10250,Software - Infrastructure,2024-12-31
Albemarle Corporation,Basic Materials,9000,Specialty Chemicals,2024-12-31
"Align Technology, Inc.",Healthcare,21610,Medical Devices,2024-12-31
The Allstate Corporation,Financial Services,53000,Insurance - Property & Casualty,2024-12-31
Allegion plc,Industrials,12200,Security & Protection Services,2024-12-31
"Applied Materials, Inc.",Technology,34500,Semiconductor Equipment & Materials,2024-10-29
Amcor plc,Consumer Cyclical,41000,Packaging & Containers,2024-06-30
"Advanced Micro Devices, Inc.",Technology,26000,Semiconductors,2024-12-30
"AMETEK, Inc.",Industrials,21500,Specialty Industrial Machinery,2024-12-31
Amgen Inc.,Healthcare,26700,Drug Manufacturers - General,2024-12-31
"Ameriprise Financial, Inc.",Financial Services,13800,Asset Management,2024-12-31
American Tower Corporation,Real Estate,5643,REIT - Specialty,2024-12-31
"Amazon.com, Inc.",Consumer Cyclical,1525000,Internet Retail,2024-12-31
"Arista Networks, Inc.",Technology,4023,Computer Hardware,2024-12-31
"ANSYS, Inc.",Technology,6200,Software - Application,2024-12-31
Aon plc,Financial Services,50000,Insurance Brokers,2024-12-31
A. O. Smith Corporation,Industrials,12000,Specialty Industrial Machinery,2024-12-31
APA Corporation,Energy,2271,Oil & Gas E&P,2024-12-31
"Air Products and Chemicals, Inc.",Basic Materials,23000,Specialty Chemicals,2024-09-30
Amphenol Corporation,Technology,95000,Electronic Components,2024-12-31
Aptiv PLC,Consumer Cyclical,154000,Auto Parts,2024-12-31
"Alexandria Real Estate Equities, Inc.",Real Estate,568,REIT - Office,2024-12-31
Atmos Energy Corporation,Utilities,5019,Utilities - Regulated Gas,2024-09-30
"AvalonBay Communities, Inc.",Real Estate,2978,REIT - Residential,2024-12-31
Broadcom Inc.,Technology,20000,Semiconductors,2024-10-29
Avery Dennison Corporation,Consumer Cyclical,35000,Packaging & Containers,2024-12-30
"American Water Works Company, Inc.",Utilities,6500,Utilities - Regulated Water,2024-12-31
"Axon Enterprise, Inc.",Industrials,3330,Aerospace & Defense,2024-12-31
American Express Company,Financial Services,74600,Credit Services,2024-12-31
"AutoZone, Inc.",Consumer Cyclical,71400,Specialty Retail,2024-08-26
The Boeing Company,Industrials,171000,Aerospace & Defense,2024-12-31
Bank of America Corporation,Financial Services,212335,Banks - Diversified,2024-12-31
Ball Corporation,Consumer Cyclical,21000,Packaging & Containers,2024-12-31
Baxter International Inc.,Healthcare,60000,Medical Instruments & Supplies,2024-12-31
"Bath & Body Works, Inc.",Consumer Cyclical,8981,Specialty Retail,2025-02-03
"Best Buy Co., Inc.",Consumer Cyclical,85000,Specialty Retail,2025-02-03
"Becton, Dickinson and Company",Healthcare,73000,Medical Instruments & Supplies,2024-09-30
"Franklin Resources, Inc.",Financial Services,9100,Asset Management,2024-09-30
Brown-Forman Corporation,Consumer Defensive,5600,Beverages - Wineries & Distilleries,2024-04-30
Bunge Global SA,Consumer Defensive,23000,Farm Products,2024-12-31
Biogen Inc.,Healthcare,7570,Drug Manufacturers - General,2024-12-31
"Bio-Rad Laboratories, Inc.",Healthcare,8030,Medical Devices,2024-12-31
The Bank of New York Mellon Corporation,Financial Services,52100,Asset Management,2024-12-31
Booking Holdings Inc.,Consumer Cyclical,23364,Travel Services,2024-12-31
Baker Hughes Company,Energy,58000,Oil & Gas Equipment & Services,2024-12-31
"Builders FirstSource, Inc.",Industrials,29000,Building Products & Equipment,2024-12-31
"BlackRock, Inc.",Financial Services,19800,Asset Management,2024-12-31
Bristol-Myers Squibb Company,Healthcare,34100,Drug Manufacturers - General,2024-12-31
"Broadridge Financial Solutions, Inc.",Technology,14700,Information Technology Services,2024-06-30
Berkshire Hathaway Inc.,Financial Services,396500,Insurance - Diversified,2024-12-31
"Brown & Brown, Inc.",Financial Services,16152,Insurance Brokers,2024-12-31
Boston Scientific Corporation,Healthcare,48000,Medical Devices,2024-12-31
BorgWarner Inc.,Consumer Cyclical,39900,Auto Parts,2024-12-31
Blackstone Inc.,Financial Services,4735,Asset Management,2024-12-31
"Boston Properties, Inc.",Real Estate,836,REIT - Office,2024-12-31
Citigroup Inc.,Financial Services,237000,Banks - Diversified,2024-12-31
"Conagra Brands, Inc.",Consumer Defensive,18600,Packaged Foods,2024-05-28
"Cardinal Health, Inc.",Healthcare,47040,Medical Distribution,2024-06-30
Carrier Global Corporation,Industrials,53000,Building Products & Equipment,2024-12-31
Caterpillar Inc.,Industrials,113200,Farm & Heavy Construction Machinery,2024-12-31
Chubb Limited,Financial Services,40000,Insurance - Property & Casualty,2024-12-31
"Cboe Global Markets, Inc.",Financial Services,1647,Financial Data & Stock Exchanges,2024-12-31
"CBRE Group, Inc.",Real Estate,130000,Real Estate Services,2024-12-31
Crown Castle Inc.,Real Estate,4700,REIT - Specialty,2024-12-31
Carnival Corporation & plc,Consumer Cyclical,106000,Travel Services,2024-11-30
"Cadence Design Systems, Inc.",Technology,11200,Software - Application,2024-12-31
CDW Corporation,Technology,15100,Information Technology Services,2024-12-31
Celanese Corporation,Basic Materials,12410,Chemicals,2024-12-31
Constellation Energy Corporation,Utilities,13871,Utilities - Renewable,2024-12-31
"CF Industries Holdings, Inc.",Basic Materials,2700,Agricultural Inputs,2024-12-31
"Citizens Financial Group, Inc.",Financial Services,17354,Banks - Regional,2024-12-31
"Church & Dwight Co., Inc.",Consumer Defensive,5550,Household & Personal Products,2024-12-31
"C.H. Robinson Worldwide, Inc.",Industrials,15246,Integrated Freight & Logistics,2024-12-31
"Charter Communications, Inc.",Communication Services,101100,Telecom Services,2024-12-31
The Cigna Group,Healthcare,70325,Healthcare Plans,2024-12-31
Cincinnati Financial Corporation,Financial Services,5426,Insurance - Property & Casualty,2024-12-31
Colgate-Palmolive Company,Consumer Defensive,34000,Household & Personal Products,2024-12-31
The Clorox Company,Consumer Defensive,8700,Household & Personal Products,2024-06-30
Comerica Incorporated,Financial Services,7619,Banks - Regional,2024-12-31
Comcast Corporation,Communication Services,186000,Telecom Services,2024-12-31
CME Group Inc.,Financial Services,3565,Financial Data & Stock Exchanges,2024-12-31
"Chipotle Mexican Grill, Inc.",Consumer Cyclical,116068,Restaurants,2024-12-31
Cummins Inc.,Industrials,75500,Specialty Industrial Machinery,2024-12-31
CMS Energy Corporation,Utilities,8356,Utilities - Regulated Electric,2024-12-31
Centene Corporation,Healthcare,67700,Healthcare Plans,2024-12-31
"CenterPoint Energy, Inc.",Utilities,8827,Utilities - Regulated Electric,2024-12-31
Capital One Financial Corporation,Financial Services,51987,Credit Services,2024-12-31
"The Cooper Companies, Inc.",Healthcare,15000,Medical Instruments & Supplies,2024-10-31
ConocoPhillips,Energy,9900,Oil & Gas E&P,2024-12-31
"Cencora, Inc.",Healthcare,42000,Medical Distribution,2024-09-30
Costco Wholesale Corporation,Consumer Defensive,316000,Discount Stores,2024-09-03
"Corpay, Inc.",Technology,10500,Software - Infrastructure,2024-12-31
Campbell Soup Company,Consumer Defensive,14500,Packaged Foods,2024-07-30
"Copart, Inc.",Industrials,12000,Specialty Business Services,2024-07-31
Camden Property Trust,Real Estate,1640,REIT - Residential,2024-12-31
"Charles River Laboratories International, Inc.",Healthcare,20400,Diagnostics & Research,2024-12-30
"Salesforce, Inc.",Technology,72682,Software - Application,2025-01-31
"Cisco Systems, Inc.",Technology,84900,Communication Equipment,2024-07-29
"CoStar Group, Inc.",Real Estate,6152,Real Estate Services,2024-12-31
CSX Corporation,Industrials,23400,Railroads,2024-12-31
Cintas Corporation,Industrials,44500,Specialty Business Services,2024-05-31
"Catalent, Inc.",Healthcare,18000,Drug Manufacturers - Specialty & Generic,2024-06-30
Coterra Energy Inc.,Energy,894,Oil & Gas E&P,2024-12-31
Cognizant Technology Solutions Corporation,Technology,347700,Information Technology Services,2024-12-31
"Corteva, Inc.",Basic Materials,22500,Agricultural Inputs,2024-12-31
CVS Health Corporation,Healthcare,219000,Healthcare Plans,2024-12-31
Chevron Corporation,Energy,45600,Oil & Gas Integrated,2024-12-31
"Caesars Entertainment, Inc.",Consumer Cyclical,51000,Resorts & Casinos,2024-12-31
"Dominion Energy, Inc.",Utilities,17700,Utilities - Regulated Electric,2024-12-31
"Delta Air Lines, Inc.",Industrials,103000,Airlines,2024-12-31
Dayforce Inc,Technology,9084,Software - Application,2024-12-31
"DuPont de Nemours, Inc.",Basic Materials,24000,Specialty Chemicals,2024-12-31
Deere & Company,Industrials,83000,Farm & Heavy Construction Machinery,2024-10-29
Deckers Outdoor Corporation,Consumer Cyclical,4200,Footwear & Accessories,2024-03-31
Discover Financial Services,Financial Services,21100,Credit Services,2024-12-31
Dollar General Corporation,Consumer Defensive,185800,Discount Stores,2025-02-02
Quest Diagnostics Incorporated,Healthcare,40000,Diagnostics & Research,2024-12-31
"D.R. Horton, Inc.",Consumer Cyclical,13450,Residential Construction,2024-09-30
Danaher Corporation,Healthcare,61000,Diagnostics & Research,2024-12-31
The Walt Disney Company,Communication Services,173250,Entertainment,2024-09-30
"Digital Realty Trust, Inc.",Real Estate,3664,REIT - Specialty,2024-12-31
"Dollar Tree, Inc.",Consumer Defensive,65894,Discount Stores,2025-02-03
"Healthpeak Properties, Inc.",Real Estate,193,REIT - Healthcare Facilities,2024-12-31
Dover Corporation,Industrials,25000,Specialty Industrial Machinery,2024-12-31
Dow Inc.,Basic Materials,35900,Chemicals,2024-12-31
"Domino's Pizza, Inc.",Consumer Cyclical,6500,Restaurants,2024-12-31
"Darden Restaurants, Inc.",Consumer Cyclical,187384,Restaurants,2024-05-28
DTE Energy Company,Utilities,9950,Utilities - Regulated Electric,2024-12-31
Duke Energy Corporation,Utilities,27037,Utilities - Regulated Electric,2024-12-31
DaVita Inc.,Healthcare,70000,Medical Care Facilities,2024-12-31
Devon Energy Corporation,Energy,1900,Oil & Gas E&P,2024-12-31
"DexCom, Inc.",Healthcare,9500,Medical Devices,2024-12-31
Electronic Arts Inc.,Communication Services,13400,Electronic Gaming & Multimedia,2024-03-31
eBay Inc.,Consumer Cyclical,12300,Internet Retail,2024-12-31
Ecolab Inc.,Basic Materials,48000,Specialty Chemicals,2024-12-31
"Consolidated Edison, Inc.",Utilities,14592,Utilities - Regulated Electric,2024-12-31
Equifax Inc.,Industrials,15000,Consulting Services,2024-12-31
"Everest Group, Ltd.",Financial Services,2844,Insurance - Reinsurance,2024-12-31
Edison International,Utilities,13003,Utilities - Regulated Electric,2024-12-31
The Estée Lauder Companies Inc.,Consumer Defensive,44020,Household & Personal Products,2024-06-30
"Elevance Health, Inc.",Healthcare,104900,Healthcare Plans,2024-12-31
Eastman Chemical Company,Basic Materials,14000,Specialty Chemicals,2024-12-31
Emerson Electric Co.,Industrials,67000,Specialty Industrial Machinery,2024-09-30
"Enphase Energy, Inc.",Technology,3157,Solar,2024-12-31
"EOG Resources, Inc.",Energy,3050,Oil & Gas E&P,2024-12-31
"EPAM Systems, Inc.",Technology,53150,Information Technology Services,2024-12-31
"Equinix, Inc.",Real Estate,13151,REIT - Specialty,2024-12-31
Equity Residential,Real Estate,2400,REIT - Residential,2024-12-31
EQT Corporation,Energy,881,Oil & Gas E&P,2024-12-31
Eversource Energy,Utilities,10171,Utilities - Regulated Electric,2024-12-31
"Essex Property Trust, Inc.",Real Estate,1747,REIT - Residential,2024-12-31
Eaton Corporation plc,Industrials,94000,Specialty Industrial Machinery,2024-12-31
Entergy Corporation,Utilities,12177,Utilities - Regulated Electric,2024-12-31
"Etsy, Inc.",Consumer Cyclical,2420,Internet Retail,2024-12-31
"Evergy, Inc.",Utilities,4658,Utilities - Regulated Electric,2024-12-31
Edwards Lifesciences Corporation,Healthcare,19800,Medical Devices,2024-12-31
Exelon Corporation,Utilities,19962,Utilities - Regulated Electric,2024-12-31
"Expeditors International of Washington, Inc.",Industrials,18100,Integrated Freight & Logistics,2024-12-31
"Expedia Group, Inc.",Consumer Cyclical,17100,Travel Services,2024-12-31
Extra Space Storage Inc.,Real Estate,7618,REIT - Industrial,2024-12-31
Ford Motor Company,Consumer Cyclical,177000,Auto Manufacturers,2024-12-31
"Diamondback Energy, Inc.",Energy,1023,Oil & Gas E&P,2024-12-31
Fastenal Company,Industrials,20935,Industrial Distribution,2024-12-31
Freeport-McMoRan Inc.,Basic Materials,27200,Copper,2024-12-31
FactSet Research Systems Inc.,Financial Services,12279,Financial Data & Stock Exchanges,2024-08-31
FedEx Corporation,Industrials,328000,Integrated Freight & Logistics,2024-05-31
FirstEnergy Corp.,Utilities,12042,Utilities - Regulated Electric,2024-12-31
"F5, Inc.",Technology,6071,Software - Infrastructure,2024-09-30
"Fiserv, Inc.",Technology,42000,Information Technology Services,2024-12-31
Fair Isaac Corporation,Technology,3485,Software - Application,2024-09-30
"Fidelity National Information Services, Inc.",Technology,60000,Information Technology Services,2024-12-31
Fifth Third Bancorp,Financial Services,18657,Banks - Regional,2024-12-31
FMC Corporation,Basic Materials,6600,Agricultural Inputs,2024-12-31
Fox Corporation,Communication Services,10400,Entertainment,2024-06-30
Federal Realty Investment Trust,Real Estate,297,REIT - Retail,2024-12-31
"First Solar, Inc.",Technology,6700,Solar,2024-12-31
"Fortinet, Inc.",Technology,13568,Software - Infrastructure,2024-12-31
Fortive Corporation,Technology,18000,Scientific & Technical Instruments,2024-12-31
General Dynamics Corporation,Industrials,111600,Aerospace & Defense,2024-12-31
General Electric Company,Industrials,125000,Aerospace & Defense,2024-12-31
GE HealthCare Technologies Inc.,Healthcare,51000,Health Information Services,2024-12-31
Gen Digital Inc.,Technology,3700,Software - Infrastructure,2024-03-31
GE Vernova Inc., ,80000, ,2024-12-31
"Gilead Sciences, Inc.",Healthcare,18000,Drug Manufacturers - General,2024-12-31
"General Mills, Inc.",Consumer Defensive,34000,Packaged Foods,2024-05-28
Globe Life Inc.,Financial Services,3636,Insurance - Life,2024-12-31
Corning Incorporated,Technology,49800,Electronic Components,2024-12-31
General Motors Company,Consumer Cyclical,163000,Auto Manufacturers,2024-12-31
Generac Holdings Inc.,Industrials,8315,Specialty Industrial Machinery,2024-12-31
Alphabet Inc.,Communication Services,182502,Internet Content & Information,2024-12-31
Genuine Parts Company,Consumer Cyclical,60000,Specialty Retail,2024-12-31
Global Payments Inc.,Industrials,27000,Specialty Business Services,2024-12-31
Garmin Ltd.,Technology,19900,Scientific & Technical Instruments,2024-12-30
"The Goldman Sachs Group, Inc.",Financial Services,44400,Capital Markets,2024-12-31
"W.W. Grainger, Inc.",Industrials,23200,Industrial Distribution,2024-12-31
Halliburton Company,Energy,48000,Oil & Gas Equipment & Services,2024-12-31
"Hasbro, Inc.",Consumer Cyclical,5502,Leisure,2024-12-31
Huntington Bancshares Incorporated,Financial Services,19719,Banks - Regional,2024-12-31
"HCA Healthcare, Inc.",Healthcare,220000,Medical Care Facilities,2024-12-31
"The Home Depot, Inc.",Consumer Cyclical,463100,Home Improvement Retail,2025-01-28
Hess Corporation,Energy,1756,Oil & Gas E&P,2024-12-31
"The Hartford Financial Services Group, Inc.",Financial Services,18700,Insurance - Property & Casualty,2024-12-31
"Huntington Ingalls Industries, Inc.",Industrials,44000,Aerospace & Defense,2024-12-31
Hilton Worldwide Holdings Inc.,Consumer Cyclical,178000,Lodging,2024-12-31
"Hologic, Inc.",Healthcare,6990,Medical Instruments & Supplies,2024-09-30
Honeywell International Inc.,Industrials,95000,Conglomerates,2024-12-31
Hewlett Packard Enterprise Company,Technology,62000,Communication Equipment,2024-10-31
HP Inc.,Technology,58000,Computer Hardware,2024-10-31
Hormel Foods Corporation,Consumer Defensive,20000,Packaged Foods,2024-10-29
"Henry Schein, Inc.",Healthcare,25000,Medical Distribution,2024-12-30
"Host Hotels & Resorts, Inc.",Real Estate,163,REIT - Hotel & Motel,2024-12-31
The Hershey Company,Consumer Defensive,18650,Confectioners,2024-12-31
Hubbell Incorporated,Industrials,18317,Electrical Equipment & Parts,2024-12-31
Humana Inc.,Healthcare,67600,Healthcare Plans,2024-12-31
Howmet Aerospace Inc.,Industrials,23200,Aerospace & Defense,2024-12-31
International Business Machines Corporation,Technology,282200,Information Technology Services,2024-12-31
"Intercontinental Exchange, Inc.",Financial Services,13222,Financial Data & Stock Exchanges,2024-12-31
"IDEXX Laboratories, Inc.",Healthcare,11000,Diagnostics & Research,2024-12-31
IDEX Corporation,Industrials,8800,Specialty Industrial Machinery,2024-12-31
International Flavors & Fragrances Inc.,Basic Materials,21500,Specialty Chemicals,2024-12-31
"Illumina, Inc.",Healthcare,10590,Diagnostics & Research,2024-12-31
Incyte Corporation,Healthcare,2524,Biotechnology,2024-12-31
Intel Corporation,Technology,124800,Semiconductors,2024-12-30
Intuit Inc.,Technology,18200,Software - Application,2024-07-31
Invitation Homes Inc.,Real Estate,1555,REIT - Residential,2024-12-31
International Paper Company,Consumer Cyclical,39000,Packaging & Containers,2024-12-31
"The Interpublic Group of Companies, Inc.",Communication Services,57400,Advertising Agencies,2024-12-31
IQVIA Holdings Inc.,Healthcare,87000,Diagnostics & Research,2024-12-31
Ingersoll Rand Inc.,Industrials,18000,Specialty Industrial Machinery,2024-12-31
